Country,Region,GDP per capita,Social support,Life Expectancy,Freedom,Trust,Generosity,Happiness Rank,Happiness Score,year
Jamaica,Latin America and Caribbean,0.81038,1.15102,0.68741,0.50442,0.02299,0.2123,65,5.709,2015
North Cyprus,Western Europe,1.20806,1.07008,0.92356,0.49027,0.1428,0.26169,66,5.695,2015
Cyprus,Western Europe,1.20813,0.89318,0.92356,0.40672,0.06146,0.30638,67,5.689,2015
Algeria,Middle East and Northern Africa,0.93929,1.07772,0.61766,0.28579,0.17383,0.07822,68,5.605,2015
Kosovo,Central and Eastern Europe,0.80148,0.81198,0.63132,0.24749,0.04741,0.2831,69,5.589,2015
Turkmenistan,Central and Eastern Europe,0.95847,1.22668,0.53886,0.4761,0.30844,0.16979,70,5.548,2015
Mauritius,Sub-Saharan Africa,1.00761,0.98521,0.7095,0.56066,0.07521,0.37744,71,5.477,2015
Hong Kong,Eastern Asia,1.38604,1.05818,1.01328,0.59608,0.37124,0.39478,72,5.474,2015
Estonia,Central and Eastern Europe,1.15174,1.22791,0.77361,0.44888,0.15184,0.0868,73,5.429,2015
Indonesia,Southeastern Asia,0.82827,1.08708,0.63793,0.46611,0.0,0.51535,74,5.399,2015
Vietnam,Southeastern Asia,0.63216,0.91226,0.74676,0.59444,0.10441,0.1686,75,5.36,2015
Turkey,Middle East and Northern Africa,1.06098,0.94632,0.73172,0.22815,0.15746,0.12253,76,5.332,2015
Kyrgyzstan,Central and Eastern Europe,0.47428,1.15115,0.65088,0.43477,0.04232,0.3003,77,5.286,2015
Nigeria,Sub-Saharan Africa,0.65435,0.90432,0.16007,0.34334,0.0403,0.27233,78,5.268,2015
Bhutan,Southern Asia,0.77042,1.10395,0.57407,0.53206,0.15445,0.47998,79,5.253,2015
Azerbaijan,Central and Eastern Europe,1.02389,0.93793,0.64045,0.3703,0.16065,0.07799,80,5.212,2015
Pakistan,Southern Asia,0.59543,0.41411,0.51466,0.12102,0.10464,0.33671,81,5.194,2015
Jordan,Middle East and Northern Africa,0.90198,1.05392,0.69639,0.40661,0.14293,0.11053,82,5.192,2015
Montenegro,Central and Eastern Europe,0.97438,0.90557,0.72521,0.1826,0.14296,0.1614,82,5.192,2015
China,Eastern Asia,0.89012,0.94675,0.81658,0.51697,0.02781,0.08185,84,5.14,2015
Zambia,Sub-Saharan Africa,0.47038,0.91612,0.29924,0.48827,0.12468,0.19591,85,5.129,2015
Romania,Central and Eastern Europe,1.04345,0.88588,0.7689,0.35068,0.00649,0.13748,86,5.124,2015
Serbia,Central and Eastern Europe,0.92053,1.00964,0.74836,0.20107,0.02617,0.19231,87,5.123,2015
Portugal,Western Europe,1.15991,1.13935,0.87519,0.51469,0.01078,0.13719,88,5.102,2015
Latvia,Central and Eastern Europe,1.11312,1.09562,0.72437,0.29671,0.06332,0.18226,89,5.098,2015
Philippines,Southeastern Asia,0.70532,1.03516,0.58114,0.62545,0.12279,0.24991,90,5.073,2015
Somaliland region,Sub-Saharan Africa,0.18847,0.95152,0.43873,0.46582,0.39928,0.50318,91,5.057,2015
Morocco,Middle East and Northern Africa,0.73479,0.64095,0.60954,0.41691,0.08546,0.07172,92,5.013,2015
Macedonia,Central and Eastern Europe,0.91851,1.00232,0.73545,0.33457,0.05327,0.22359,93,5.007,2015
Mozambique,Sub-Saharan Africa,0.08308,1.02626,0.09131,0.34037,0.15603,0.22269,94,4.971,2015
Albania,Central and Eastern Europe,0.87867,0.80434,0.81325,0.35733,0.06413,0.14272,95,4.959,2015
Bosnia and Herzegovina,Central and Eastern Europe,0.83223,0.91916,0.79081,0.09245,0.00227,0.24808,96,4.949,2015
Lesotho,Sub-Saharan Africa,0.37545,1.04103,0.07612,0.31767,0.12504,0.16388,97,4.898,2015
Dominican Republic,Latin America and Caribbean,0.89537,1.17202,0.66825,0.57672,0.14234,0.21684,98,4.885,2015
Laos,Southeastern Asia,0.59066,0.73803,0.54909,0.59591,0.24249,0.42192,99,4.876,2015
Mongolia,Eastern Asia,0.82819,1.3006,0.60268,0.43626,0.02666,0.3323,100,4.874,2015
Swaziland,Sub-Saharan Africa,0.71206,1.07284,0.07566,0.30658,0.0306,0.18259,101,4.867,2015
Greece,Western Europe,1.15406,0.92933,0.88213,0.07699,0.01397,0.0,102,4.857,2015
Lebanon,Middle East and Northern Africa,1.02564,0.80001,0.83947,0.33916,0.04582,0.21854,103,4.839,2015
Hungary,Central and Eastern Europe,1.12094,1.20215,0.75905,0.32112,0.02758,0.128,104,4.8,2015
Honduras,Latin America and Caribbean,0.59532,0.95348,0.6951,0.40148,0.06825,0.23027,105,4.788,2015
Tajikistan,Central and Eastern Europe,0.39047,0.85563,0.57379,0.47216,0.15072,0.22974,106,4.786,2015
Tunisia,Middle East and Northern Africa,0.88113,0.60429,0.73793,0.26268,0.06358,0.06431,107,4.739,2015
Palestinian Territories,Middle East and Northern Africa,0.59867,0.92558,0.66015,0.24499,0.12905,0.11251,108,4.715,2015
Bangladesh,Southern Asia,0.39753,0.43106,0.60164,0.4082,0.12569,0.21222,109,4.694,2015
Iran,Middle East and Northern Africa,1.0088,0.54447,0.69805,0.30033,0.05863,0.38086,110,4.686,2015
Ukraine,Central and Eastern Europe,0.79907,1.20278,0.6739,0.25123,0.02961,0.15275,111,4.681,2015
Iraq,Middle East and Northern Africa,0.98549,0.81889,0.60237,0.0,0.13788,0.17922,112,4.677,2015
South Africa,Sub-Saharan Africa,0.92049,1.18468,0.27688,0.33207,0.08884,0.11973,113,4.642,2015
Ghana,Sub-Saharan Africa,0.54558,0.67954,0.40132,0.42342,0.04355,0.23087,114,4.633,2015
Zimbabwe,Sub-Saharan Africa,0.271,1.03276,0.33475,0.25861,0.08079,0.18987,115,4.61,2015
Liberia,Sub-Saharan Africa,0.0712,0.78968,0.34201,0.28531,0.06232,0.24362,116,4.571,2015
India,Southern Asia,0.64499,0.38174,0.51529,0.39786,0.08492,0.26475,117,4.565,2015
Sudan,Sub-Saharan Africa,0.52107,1.01404,0.36878,0.10081,0.1466,0.19062,118,4.55,2015
Haiti,Latin America and Caribbean,0.26673,0.74302,0.38847,0.24425,0.17175,0.46187,119,4.518,2015
Congo (Kinshasa),Sub-Saharan Africa,0.0,1.0012,0.09806,0.22605,0.07625,0.24834,120,4.517,2015
Nepal,Southern Asia,0.35997,0.86449,0.56874,0.38282,0.05907,0.32296,121,4.514,2015
Ethiopia,Sub-Saharan Africa,0.19073,0.60406,0.44055,0.4345,0.15048,0.24325,122,4.512,2015
Sierra Leone,Sub-Saharan Africa,0.33024,0.95571,0.0,0.4084,0.08786,0.21488,123,4.507,2015
Mauritania,Sub-Saharan Africa,0.45407,0.86908,0.35874,0.24232,0.17461,0.219,124,4.436,2015
Kenya,Sub-Saharan Africa,0.36471,0.99876,0.41435,0.42215,0.05839,0.37542,125,4.419,2015
Djibouti,Sub-Saharan Africa,0.44025,0.59207,0.36291,0.46074,0.28105,0.18093,126,4.369,2015
Armenia,Central and Eastern Europe,0.76821,0.77711,0.7299,0.19847,0.039,0.07855,127,4.35,2015
Botswana,Sub-Saharan Africa,0.99355,1.10464,0.04776,0.49495,0.12474,0.10461,128,4.332,2015
Myanmar,Southeastern Asia,0.27108,0.70905,0.48246,0.44017,0.19034,0.79588,129,4.307,2015
Georgia,Central and Eastern Europe,0.7419,0.38562,0.72926,0.40577,0.38331,0.05547,130,4.297,2015
Malawi,Sub-Saharan Africa,0.01604,0.41134,0.22562,0.43054,0.06977,0.33128,131,4.292,2015
Sri Lanka,Southern Asia,0.83524,1.01905,0.70806,0.53726,0.09179,0.40828,132,4.271,2015
Cameroon,Sub-Saharan Africa,0.4225,0.88767,0.23402,0.49309,0.05786,0.20618,133,4.252,2015
Bulgaria,Central and Eastern Europe,1.01216,1.10614,0.76649,0.30587,0.00872,0.11921,134,4.218,2015
Egypt,Middle East and Northern Africa,0.8818,0.747,0.61712,0.17288,0.06324,0.11291,135,4.194,2015
Yemen,Middle East and Northern Africa,0.54649,0.68093,0.40064,0.35571,0.07854,0.09131,136,4.077,2015
Angola,Sub-Saharan Africa,0.75778,0.8604,0.16683,0.10384,0.07122,0.12344,137,4.033,2015
Mali,Sub-Saharan Africa,0.26074,1.03526,0.20583,0.38857,0.12352,0.18798,138,3.995,2015
Congo (Brazzaville),Sub-Saharan Africa,0.67866,0.6629,0.31051,0.41466,0.11686,0.12388,139,3.989,2015
Comoros,Sub-Saharan Africa,0.23906,0.79273,0.36315,0.22917,0.199,0.17441,140,3.956,2015
Uganda,Sub-Saharan Africa,0.21102,1.13299,0.33861,0.45727,0.07267,0.29066,141,3.931,2015
Senegal,Sub-Saharan Africa,0.36498,0.97619,0.4354,0.36772,0.10713,0.20843,142,3.904,2015
Gabon,Sub-Saharan Africa,1.06024,0.90528,0.43372,0.31914,0.11091,0.06822,143,3.896,2015
Niger,Sub-Saharan Africa,0.0694,0.77265,0.29707,0.47692,0.15639,0.19387,144,3.845,2015
Cambodia,Southeastern Asia,0.46038,0.62736,0.61114,0.66246,0.07247,0.40359,145,3.819,2015
Tanzania,Sub-Saharan Africa,0.2852,1.00268,0.38215,0.32878,0.05747,0.34377,146,3.781,2015
Madagascar,Sub-Saharan Africa,0.20824,0.66801,0.46721,0.19184,0.08124,0.21333,147,3.681,2015
Central African Republic,Sub-Saharan Africa,0.0785,0.0,0.06699,0.48879,0.08289,0.23835,148,3.678,2015
Chad,Sub-Saharan Africa,0.34193,0.76062,0.1501,0.23501,0.05269,0.18386,149,3.667,2015
Guinea,Sub-Saharan Africa,0.17417,0.46475,0.24009,0.37725,0.12139,0.28657,150,3.656,2015
Ivory Coast,Sub-Saharan Africa,0.46534,0.77115,0.15185,0.46866,0.17922,0.20165,151,3.655,2015
Burkina Faso,Sub-Saharan Africa,0.25812,0.85188,0.27125,0.39493,0.12832,0.21747,152,3.587,2015
Afghanistan,Southern Asia,0.31982,0.30285,0.30335,0.23414,0.09719,0.3651,153,3.575,2015
Rwanda,Sub-Saharan Africa,0.22208,0.7737,0.42864,0.59201,0.55191,0.22628,154,3.465,2015
Benin,Sub-Saharan Africa,0.28665,0.35386,0.3191,0.4845,0.0801,0.1826,155,3.34,2015
Syria,Middle East and Northern Africa,0.6632,0.47489,0.72193,0.15684,0.18906,0.47179,156,3.006,2015
Burundi,Sub-Saharan Africa,0.0153,0.41587,0.22396,0.1185,0.10062,0.19727,157,2.905,2015
Togo,Sub-Saharan Africa,0.20868,0.13995,0.28443,0.36453,0.10731,0.16681,158,2.839,2015
Denmark,Western Europe,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,1,7.526,2016
Switzerland,Western Europe,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2,7.509,2016
Iceland,Western Europe,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,3,7.501,2016
Norway,Western Europe,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,4,7.498,2016
Finland,Western Europe,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,5,7.413,2016
Canada,North America,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,6,7.404,2016
Netherlands,Western Europe,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,7,7.339,2016
New Zealand,Australia and New Zealand,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,8,7.334,2016
Australia,Australia and New Zealand,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,9,7.313,2016
Sweden,Western Europe,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,10,7.291,2016
Israel,Middle East and Northern Africa,1.33766,0.99537,0.84917,0.36432,0.08728,0.32288,11,7.267,2016
Austria,Western Europe,1.45038,1.08383,0.80565,0.54355,0.21348,0.32865,12,7.119,2016
United States,North America,1.50796,1.04782,0.779,0.48163,0.14868,0.41077,13,7.104,2016
Costa Rica,Latin America and Caribbean,1.06879,1.02152,0.76146,0.55225,0.10547,0.22553,14,7.087,2016
Puerto Rico,Latin America and Caribbean,1.35943,1.08113,0.77758,0.46823,0.12275,0.22202,15,7.039,2016
Germany,Western Europe,1.44787,1.09774,0.81487,0.53466,0.28551,0.30452,16,6.994,2016
Brazil,Latin America and Caribbean,1.08754,1.03938,0.61415,0.40425,0.14166,0.15776,17,6.952,2016
Belgium,Western Europe,1.42539,1.05249,0.81959,0.51354,0.26248,0.2424,18,6.929,2016
Ireland,Western Europe,1.48341,1.16157,0.81455,0.54008,0.29754,0.44963,19,6.907,2016
Luxembourg,Western Europe,1.69752,1.03999,0.84542,0.5487,0.35329,0.27571,20,6.871,2016
Mexico,Latin America and Caribbean,1.11508,0.7146,0.71143,0.37709,0.18355,0.11735,21,6.778,2016
Singapore,Southeastern Asia,1.64555,0.86758,0.94719,0.4877,0.46987,0.32706,22,6.739,2016
United Kingdom,Western Europe,1.40283,1.08672,0.80991,0.50036,0.27399,0.50156,23,6.725,2016
Chile,Latin America and Caribbean,1.2167,0.90587,0.81883,0.37789,0.11451,0.31595,24,6.705,2016
Panama,Latin America and Caribbean,1.18306,0.98912,0.70835,0.48927,0.08423,0.2418,25,6.701,2016
Argentina,Latin America and Caribbean,1.15137,1.06612,0.69711,0.42284,0.07296,0.10989,26,6.65,2016
Czech Republic,Central and Eastern Europe,1.30915,1.00793,0.76376,0.41418,0.03986,0.09929,27,6.596,2016
United Arab Emirates,Middle East and Northern Africa,1.57352,0.87114,0.72993,0.56215,0.35561,0.26591,28,6.573,2016
Uruguay,Latin America and Caribbean,1.18157,1.03143,0.72183,0.54388,0.21394,0.18056,29,6.545,2016
Malta,Western Europe,1.30782,1.09879,0.80315,0.54994,0.17554,0.56237,30,6.488,2016
Colombia,Latin America and Caribbean,1.03032,1.02169,0.59659,0.44735,0.05399,0.15626,31,6.481,2016
France,Western Europe,1.39488,1.00508,0.83795,0.46562,0.17808,0.1216,32,6.478,2016
Thailand,Southeastern Asia,1.0893,1.04477,0.64915,0.49553,0.02833,0.58696,33,6.474,2016
Saudi Arabia,Middle East and Northern Africa,1.48953,0.84829,0.59267,0.37904,0.30008,0.15457,34,6.379,2016
Taiwan,Eastern Asia,1.39729,0.92624,0.79565,0.32377,0.0663,0.25495,34,6.379,2016
Qatar,Middle East and Northern Africa,1.82427,0.87964,0.71723,0.56679,0.48049,0.32388,36,6.375,2016
Spain,Western Europe,1.34253,1.12945,0.87896,0.37545,0.06137,0.17665,37,6.361,2016
Algeria,Middle East and Northern Africa,1.05266,0.83309,0.61804,0.21006,0.16157,0.07044,38,6.355,2016
Guatemala,Latin America and Caribbean,0.83454,0.87119,0.54039,0.50379,0.08701,0.28808,39,6.324,2016
Suriname,Latin America and Caribbean,1.09686,0.77866,0.50933,0.52234,0.12692,0.16665,40,6.269,2016
Kuwait,Middle East and Northern Africa,1.61714,0.87758,0.63569,0.43166,0.23669,0.15965,41,6.239,2016
Bahrain,Middle East and Northern Africa,1.44024,0.94397,0.65696,0.47375,0.25772,0.17147,42,6.218,2016
Trinidad and Tobago,Latin America and Caribbean,1.32572,0.98569,0.52608,0.48453,0.01241,0.31935,43,6.168,2016
Venezuela,Latin America and Caribbean,1.13367,1.03302,0.61904,0.19847,0.08304,0.0425,44,6.084,2016
Slovakia,Central and Eastern Europe,1.27973,1.08268,0.70367,0.23391,0.02947,0.13837,45,6.078,2016
El Salvador,Latin America and Caribbean,0.8737,0.80975,0.596,0.37269,0.10613,0.08877,46,6.068,2016
Malaysia,Southeastern Asia,1.25142,0.88025,0.62366,0.39031,0.09081,0.41474,47,6.005,2016
Nicaragua,Latin America and Caribbean,0.69384,0.89521,0.65213,0.46582,0.16292,0.29773,48,5.992,2016
Uzbekistan,Central and Eastern Europe,0.73591,1.1681,0.50163,0.60848,0.28333,0.34326,49,5.987,2016
Italy,Western Europe,1.35495,1.04167,0.85102,0.18827,0.02556,0.16684,50,5.977,2016
Ecuador,Latin America and Caribbean,0.97306,0.85974,0.68613,0.4027,0.18037,0.10074,51,5.976,2016
Belize,Latin America and Caribbean,0.87616,0.68655,0.45569,0.51231,0.10771,0.23684,52,5.956,2016
Japan,Eastern Asia,1.38007,1.06054,0.91491,0.46761,0.18985,0.10224,53,5.921,2016
Kazakhstan,Central and Eastern Europe,1.22943,0.95544,0.57386,0.4052,0.11132,0.15011,54,5.919,2016
Moldova,Central and Eastern Europe,0.69177,0.83132,0.52309,0.25202,0.01903,0.19997,55,5.897,2016
Russia,Central and Eastern Europe,1.23228,1.05261,0.58991,0.32682,0.03586,0.02736,56,5.856,2016
Poland,Central and Eastern Europe,1.24585,1.04685,0.69058,0.4519,0.055,0.14443,57,5.835,2016
South Korea,Eastern Asia,1.35948,0.72194,0.88645,0.25168,0.07716,0.18824,57,5.835,2016
Bolivia,Latin America and Caribbean,0.79422,0.83779,0.4697,0.50961,0.07746,0.21698,59,5.822,2016
Lithuania,Central and Eastern Europe,1.2692,1.06411,0.64674,0.18929,0.0182,0.02025,60,5.813,2016
Belarus,Central and Eastern Europe,1.13062,1.04993,0.63104,0.29091,0.17457,0.13942,61,5.802,2016
North Cyprus,Western Europe,1.31141,0.81826,0.84142,0.43596,0.16578,0.26322,62,5.771,2016
Slovenia,Central and Eastern Europe,1.29947,1.05613,0.79151,0.53164,0.03635,0.25738,63,5.768,2016
Peru,Latin America and Caribbean,0.99602,0.81255,0.62994,0.37502,0.05292,0.14527,64,5.743,2016
Turkmenistan,Central and Eastern Europe,1.08017,1.03817,0.44006,0.37408,0.28467,0.22567,65,5.658,2016
Mauritius,Sub-Saharan Africa,1.14372,0.75695,0.66189,0.46145,0.05203,0.36951,66,5.648,2016
Libya,Middle East and Northern Africa,1.06688,0.95076,0.52304,0.40672,0.10339,0.17087,67,5.615,2016
Latvia,Central and Eastern Europe,1.21788,0.95025,0.63952,0.27996,0.0889,0.17445,68,5.56,2016
Cyprus,Western Europe,1.31857,0.70697,0.8488,0.29507,0.05228,0.27906,69,5.546,2016
Paraguay,Latin America and Caribbean,0.89373,1.11111,0.58295,0.46235,0.07396,0.25296,70,5.538,2016
Romania,Central and Eastern Europe,1.1697,0.72803,0.67602,0.36712,0.00679,0.12889,71,5.528,2016
Estonia,Central and Eastern Europe,1.27964,1.05163,0.68098,0.41511,0.18519,0.08423,72,5.517,2016
Jamaica,Latin America and Caribbean,0.89333,0.96372,0.59469,0.43597,0.04294,0.22245,73,5.51,2016
Croatia,Central and Eastern Europe,1.18649,0.60809,0.70524,0.23907,0.04002,0.18434,74,5.488,2016
Hong Kong,Eastern Asia,1.5107,0.87021,0.95277,0.48079,0.31647,0.40097,75,5.458,2016
Somalia,Sub-Saharan Africa,0.0,0.33613,0.11466,0.56778,0.3118,0.27225,76,5.44,2016
Kosovo,Central and Eastern Europe,0.90145,0.66062,0.54,0.14396,0.06547,0.27992,77,5.401,2016
Turkey,Middle East and Northern Africa,1.16492,0.87717,0.64718,0.23889,0.12348,0.04707,78,5.389,2016
Indonesia,Southeastern Asia,0.95104,0.87625,0.49374,0.39237,0.00322,0.56521,79,5.314,2016
Jordan,Middle East and Northern Africa,0.99673,0.86216,0.60712,0.36023,0.13297,0.14262,80,5.303,2016
Azerbaijan,Central and Eastern Europe,1.12373,0.76042,0.54504,0.35327,0.17914,0.0564,81,5.291,2016
Philippines,Southeastern Asia,0.81217,0.87877,0.47036,0.54854,0.11757,0.21674,82,5.279,2016
China,Eastern Asia,1.0278,0.79381,0.73561,0.44012,0.02745,0.04959,83,5.245,2016
Bhutan,Southern Asia,0.8527,0.90836,0.49759,0.46074,0.1616,0.48546,84,5.196,2016
Kyrgyzstan,Central and Eastern Europe,0.56044,0.95434,0.55449,0.40212,0.04762,0.38432,85,5.185,2016
Serbia,Central and Eastern Europe,1.03437,0.81329,0.6458,0.15718,0.04339,0.20737,86,5.177,2016
Bosnia and Herzegovina,Central and Eastern Europe,0.93383,0.64367,0.70766,0.09511,0.0,0.29889,87,5.163,2016
Montenegro,Central and Eastern Europe,1.07838,0.74173,0.63533,0.15111,0.12721,0.17191,88,5.161,2016
Dominican Republic,Latin America and Caribbean,1.02787,0.99496,0.57669,0.52259,0.12372,0.21286,89,5.155,2016
Morocco,Middle East and Northern Africa,0.84058,0.38595,0.59471,0.25646,0.08404,0.04053,90,5.151,2016
Hungary,Central and Eastern Europe,1.24142,0.93164,0.67608,0.1977,0.04472,0.099,91,5.145,2016
Pakistan,Southern Asia,0.68816,0.26135,0.40306,0.14622,0.1388,0.31185,92,5.132,2016
Lebanon,Middle East and Northern Africa,1.12268,0.64184,0.76171,0.26228,0.03061,0.23693,93,5.129,2016
Portugal,Western Europe,1.27607,0.94367,0.79363,0.44727,0.01521,0.11691,94,5.123,2016
Macedonia,Central and Eastern Europe,1.0193,0.78236,0.64738,0.27668,0.07047,0.23507,95,5.121,2016
Vietnam,Southeastern Asia,0.74037,0.79117,0.66157,0.55954,0.11556,0.25075,96,5.061,2016
